TIME,REP,ANALYTE,TREATMENT,TURBIDITY,CONC,,,,,,,,,,,,,,
0,1,O2,C,5.00,266.51,,,,,,,,,,,,,,
0,2,O2,C,5.00,265.04,,,,,,,,,,,,,,
0,3,O2,C,5.00,265.06,,,,,,,,,,,,,,
0,4,O2,C,5.00,265.49,,,,,,,,,,,,,,
0,5,O2,C,5.00,265.41,,,,,,,,,,,,,,
1,1,O2,D,5.00,240.31,,,,,,,,,,,,,,
1,2,O2,D,5.00,241.26,,,,,,,,,,,,,,
1,3,O2,D,5.00,242.35,,,,,,,,,,,,,,
1,4,O2,D,5.00,238.42,,,,,,,,,,,,,,
1,5,O2,D,5.00,242.07,,,,,,,,,,,,,,
2,1,O2,D,5.00,222.82,,,,,,,,,,,,,,
2,2,O2,D,5.00,222.83,,,,,,,,,,,,,,
2,3,O2,D,5.00,221.55,,,,,,,,,,,,,,
2,4,O2,D,5.00,223.08,,,,,,,,,,,,,,
2,5,O2,D,5.00,220.47,,,,,,,,,,,,,,
3,1,O2,D,5.00,191.61,,,,,,,,,,,,,,
3,2,O2,D,5.00,199.38,,,,,,,,,,,,,,
3,3,O2,D,5.00,197.08,,,,,,,,,,,,,,
3,4,O2,D,5.00,197.28,,,,,,,,,,,,,,
3,5,O2,D,5.00,190.77,,,,,,,,,,,,,,
4,1,O2,D,5.00,192.68,,,,,,,,,,,,,,
4,2,O2,D,5.00,216.68,,,,,,,,,,,,,,
4,3,O2,D,5.00,192.41,,,,,,,,,,,,,,
4,4,O2,D,5.00,189.59,,,,,,,,,,,,,,
4,5,O2,D,5.00,193.61,,,,,,,,,,,,,,
5,1,O2,D,5.00,155.08,,,,,,,,,,,,,,
5,2,O2,D,5.00,155.56,,,,,,,,,,,,,,
5,3,O2,D,5.00,162.93,,,,,,,,,,,,,,
5,4,O2,D,5.00,165.35,,,,,,,,,,,,,,
5,5,O2,D,5.00,183.83,,,,,,,,,,,,,,
7,1,O2,D,5.00,117.77,,,,,,,,,,,,,,
7,2,O2,D,5.00,120.61,,,,,,,,,,,,,,
7,3,O2,D,5.00,119.82,,,,,,,,,,,,,,
7,4,O2,D,5.00,109.18,,,,,,,,,,,,,,
7,5,O2,D,5.00,118.95,,,,,,,,,,,,,,
9,1,O2,D,5.00,98.60,,,,,,,,,,,,,,
9,2,O2,D,5.00,96.29,,,,,,,,,,,,,,
9,3,O2,D,5.00,81.42,,,,,,,,,,,,,,
9,4,O2,D,5.00,114.85,,,,,,,,,,,,,,
9,5,O2,D,5.00,86.10,,,,,,,,,,,,,,
1,1,O2,D,19.20,236.78,,,,,,,,,,,,,,
1,2,O2,D,19.20,234.73,,,,,,,,,,,,,,
1,3,O2,D,19.20,235.48,,,,,,,,,,,,,,
1,4,O2,D,19.20,239.35,,,,,,,,,,,,,,
1,5,O2,D,19.20,238.44,,,,,,,,,,,,,,
2,1,O2,D,19.20,218.91,,,,,,,,,,,,,,
2,2,O2,D,19.20,211.86,,,,,,,,,,,,,,
2,3,O2,D,19.20,214.12,,,,,,,,,,,,,,
2,4,O2,D,19.20,213.66,,,,,,,,,,,,,,
2,5,O2,D,19.20,209.18,,,,,,,,,,,,,,
3,1,O2,D,19.20,180.30,,,,,,,,,,,,,,
3,2,O2,D,19.20,181.28,,,,,,,,,,,,,,
3,3,O2,D,19.20,188.17,,,,,,,,,,,,,,
3,4,O2,D,19.20,181.28,,,,,,,,,,,,,,
3,5,O2,D,19.20,179.04,,,,,,,,,,,,,,
4,1,O2,D,19.20,157.61,,,,,,,,,,,,,,
4,2,O2,D,19.20,165.44,,,,,,,,,,,,,,
4,3,O2,D,19.20,163.81,,,,,,,,,,,,,,
4,4,O2,D,19.20,164.09,,,,,,,,,,,,,,
4,5,O2,D,19.20,173.90,,,,,,,,,,,,,,
5,1,O2,D,19.20,118.80,,,,,,,,,,,,,,
5,2,O2,D,19.20,120.84,,,,,,,,,,,,,,
5,3,O2,D,19.20,123.87,,,,,,,,,,,,,,
5,4,O2,D,19.20,125.06,,,,,,,,,,,,,,
5,5,O2,D,19.20,124.84,,,,,,,,,,,,,,
7,1,O2,D,19.20,95.93,,,,,,,,,,,,,,
7,2,O2,D,19.20,86.30,,,,,,,,,,,,,,
7,3,O2,D,19.20,95.24,,,,,,,,,,,,,,
7,4,O2,D,19.20,87.91,,,,,,,,,,,,,,
7,5,O2,D,19.20,91.95,,,,,,,,,,,,,,
9,1,O2,D,19.20,62.05,,,,,,,,,,,,,,
9,2,O2,D,19.20,60.61,,,,,,,,,,,,,,
9,3,O2,D,19.20,51.11,,,,,,,,,,,,,,
9,4,O2,D,19.20,65.50,,,,,,,,,,,,,,
9,5,O2,D,19.20,27.28,,,,,,,,,,,,,,
1,1,O2,D,34.60,235.23,,,,,,,,,,,,,,
1,2,O2,D,34.60,234.58,,,,,,,,,,,,,,
1,3,O2,D,34.60,237.52,,,,,,,,,,,,,,
1,4,O2,D,34.60,237.09,,,,,,,,,,,,,,
1,5,O2,D,34.60,235.24,,,,,,,,,,,,,,
2,1,O2,D,34.60,200.18,,,,,,,,,,,,,,
2,2,O2,D,34.60,202.73,,,,,,,,,,,,,,
2,3,O2,D,34.60,204.82,,,,,,,,,,,,,,
2,4,O2,D,34.60,201.68,,,,,,,,,,,,,,
2,5,O2,D,34.60,197.13,,,,,,,,,,,,,,
3,1,O2,D,34.60,174.69,,,,,,,,,,,,,,
3,2,O2,D,34.60,172.22,,,,,,,,,,,,,,
3,3,O2,D,34.60,169.41,,,,,,,,,,,,,,
3,4,O2,D,34.60,169.85,,,,,,,,,,,,,,
3,5,O2,D,34.60,169.25,,,,,,,,,,,,,,
4,1,O2,D,34.60,149.83,,,,,,,,,,,,,,
4,2,O2,D,34.60,148.52,,,,,,,,,,,,,,
4,3,O2,D,34.60,151.63,,,,,,,,,,,,,,
4,4,O2,D,34.60,143.53,,,,,,,,,,,,,,
4,5,O2,D,34.60,150.80,,,,,,,,,,,,,,
5,1,O2,D,34.60,103.36,,,,,,,,,,,,,,
5,2,O2,D,34.60,103.55,,,,,,,,,,,,,,
5,3,O2,D,34.60,119.71,,,,,,,,,,,,,,
5,4,O2,D,34.60,98.83,,,,,,,,,,,,,,
5,5,O2,D,34.60,94.77,,,,,,,,,,,,,,
7,1,O2,D,34.60,53.74,,,,,,,,,,,,,,
7,2,O2,D,34.60,49.32,,,,,,,,,,,,,,
7,3,O2,D,34.60,64.89,,,,,,,,,,,,,,
7,4,O2,D,34.60,62.12,,,,,,,,,,,,,,
