TIME,REP,ANALYTE,C,G,GN,N
0,1,o2,316.35,316.35,316.35,316.35
0,2,o2,307.65,307.65,307.65,307.65
0,3,o2,313.5,313.5,313.5,313.5
0,4,o2,316.33,316.33,316.33,316.33
0,5,o2,315.67,315.67,315.67,315.67
2,1,o2,196.76,140.96,178.66,212.21
2,2,o2,196.58,157.48,178.31,196.62
2,3,o2,193.16,151.41,170.75,213.34
2,4,o2,193.82,161.3,297.77,206.85
2,5,o2,188.13,162.04,166.3,201.35
7,1,o2,70.65,10.28,10.27,61.22
7,2,o2,77.48,18.33,8.84,70.27
7,3,o2,62.46,10.38,10.02,68.68
7,4,o2,55.56,11.33,9.05,76.1
7,5,o2,70.95,9.93,9.57,124.36
9,1,o2,20.02,21.32,12.21,19.05
9,2,o2,22.89,11.19,6.65,40.85
9,3,o2,25.96,9.98,8.94,15.93
9,4,o2,36,12.31,88.69,31.92
9,5,o2,14.02,16.24,31.18,32.44
14,1,o2,5.79,5.02,5.02,6.49
14,2,o2,5.59,7.9,4.77,4.66
14,3,o2,5.83,10.25,4.7,4.63
14,4,o2,5.27,6.62,4.55,4.6
14,5,o2,5.12,6.8,5.26,4.9
